dataset,validation,train_size,val_size_in_train,ordre,accuracy_obtenue,precision_macro,recall_macro,f1_macro,accuracy_article,ecart_article,meilleur_epoch
D1,split,0.4,0.2,4,97.70833333333333,97.8634308456285,97.70833333333331,97.72392280109334,98.9,-1.191666666666677,40
D1,split,0.4,0.2,6,92.91666666666667,93.21146459211145,92.91666666666666,92.91639070689524,99.16,-6.243333333333325,15
D1,split,0.4,0.2,8,89.11458333333333,89.49688707267876,89.11458333333331,89.15442724968038,98.8,-9.685416666666669,11
D1,split,0.4,0.2,10,86.875,87.49996364858781,86.875,86.86208689381576,97.91,-11.034999999999997,9
D1,split,0.4,0.2,12,83.48958333333333,84.28822571101563,83.48958333333331,83.51656952832849,95.93,-12.440416666666678,12
D1,split,0.4,0.2,14,76.61458333333333,79.02210079373828,76.61458333333333,76.62323893412099,94.06,-17.445416666666674,8
D1,split,0.4,0.2,16,71.45833333333333,76.69257432947677,71.45833333333333,71.66480807709557,91.19,-19.73166666666667,8
D1,split,0.4,0.2,18,65.72916666666667,73.06988279806205,65.72916666666667,65.56752188161143,87.81,-22.08083333333333,8
D1,split,0.4,0.2,20,62.03125000000001,68.86821852623963,62.03125000000001,61.55078623847554,85.52,-23.48874999999999,8
