dataset,class_set,validation,ordre,accuracy_obtenue,precision_macro,recall_macro,f1_macro,meilleur_epoch_moyen
grouped_augmentation,D1,5fold_grouped_object_level,4,78.203125,75.628313468101,74.95863095238097,74.25938890188576,5.8
grouped_augmentation,D1,5fold_grouped_object_level,5,77.36500850340137,75.088277645761,74.4922619047619,73.55179248297932,4.6
grouped_augmentation,D1,5fold_grouped_object_level,6,74.42230017006804,72.40586757514578,71.53839285714285,71.0245507438793,5.4
grouped_augmentation,D1,5fold_grouped_object_level,7,72.52019557823128,69.64266068431633,68.49642857142857,67.49975234691229,4.2
grouped_augmentation,D1,5fold_grouped_object_level,8,71.38392857142858,69.85993568623145,68.61190476190477,68.06287308605869,3.8
grouped_augmentation,D1,5fold_grouped_object_level,9,69.37553146258504,66.8883215414476,65.49642857142858,64.2222305159791,3.6
grouped_augmentation,D1,5fold_grouped_object_level,10,70.81260629251702,69.5061337229329,68.43630952380953,67.8303455996234,3.4
