dataset,class_set,validation,ordre,accuracy_obtenue,precision_macro,recall_macro,f1_macro,meilleur_epoch_moyen
original_objects,D1,5fold_object_level,4,63.256802721088434,58.27063492063491,58.10952380952381,55.867554667554664,19.4
original_objects,D1,5fold_object_level,5,69.85544217687074,62.9547619047619,64.67619047619047,61.65445926622398,22.8
original_objects,D1,5fold_object_level,6,61.19897959183673,50.33210678210678,55.028571428571425,49.59582376687639,15.4
original_objects,D1,5fold_object_level,7,51.67517006802721,37.48894438894439,45.076190476190476,38.83628167087247,16.2
original_objects,D1,5fold_object_level,8,51.25850340136054,37.21583844357434,44.74285714285714,38.369594564223256,14.4
original_objects,D1,5fold_object_level,9,59.872448979591844,47.669370825253175,54.27619047619048,48.34970291146761,16.2
original_objects,D1,5fold_object_level,10,56.25,48.18680894269131,50.595238095238095,45.6515146405172,11.8
